exam_type,subject,topic,difficulty,question,a,b,c,d,answer
CPA,FAR,Revenue Recognition,Hard,"[FAR-22] Compute the adjustment amount if base amount is PHP 1,618,417.00 and rate is 12%.","194,210.04","203,920.54","213,631.04","184,499.54",A
CPA,FAR,Liabilities,Hard,"[FAR-23] Compute the adjustment amount if base amount is PHP 685,663.00 and rate is 12%.","82,279.56","90,507.52","78,165.58","86,393.54",A
CPA,FAR,Inventories,Hard,"[FAR-24] Compute the adjustment amount if base amount is PHP 474,138.00 and rate is 18%.","85,344.84","93,879.32","81,077.60","89,612.08",A
CPA,FAR,Liabilities,Hard,"[FAR-25] Compute the adjustment amount if base amount is PHP 2,249,456.00 and rate is 18%.","445,392.28","404,902.08","384,656.98","425,147.18",B
CPA,FAR,Revenue Recognition,Hard,"[FAR-26] Compute the adjustment amount if base amount is PHP 1,697,084.00 and rate is 10%.","178,193.82","161,222.98","169,708.40","186,679.24",C
CPA,FAR,Revenue Recognition,Hard,"[FAR-27] Compute the adjustment amount if base amount is PHP 1,575,498.00 and rate is 15%.","259,957.18","248,140.94","224,508.46","236,324.70",D
CPA,FAR,Liabilities,Hard,"[FAR-28] Compute the adjustment amount if base amount is PHP 1,494,725.00 and rate is 15%.","246,629.63","235,419.19","224,208.75","212,998.31",C
CPA,FAR,Inventories,Hard,"[FAR-29] Compute the adjustment amount if base amount is PHP 2,076,990.00 and rate is 12%.","249,238.80","236,776.86","274,162.68","261,700.74",A
CPA,FAR,Revenue Recognition,Hard,"[FAR-30] Compute the adjustment amount if base amount is PHP 2,044,419.00 and rate is 12%.","257,596.79","233,063.77","245,330.28","269,863.30",C
CPA,FAR,Equity,Hard,"[FAR-31] Compute the adjustment amount if base amount is PHP 847,140.00 and rate is 10%.","80,478.30","93,185.40","88,949.70","84,714.00",D
CPA,FAR,Inventories,Hard,"[FAR-32] Compute the adjustment amount if base amount is PHP 2,149,375.00 and rate is 10%.","236,431.26","214,937.50","204,190.62","225,684.38",B
CPA,FAR,Liabilities,Hard,"[FAR-33] Compute the adjustment amount if base amount is PHP 792,727.00 and rate is 12%.","95,127.24","104,639.96","99,883.60","90,370.88",A
CPA,FAR,Receivables,Hard,"[FAR-34] Compute the adjustment amount if base amount is PHP 449,918.00 and rate is 18%.","76,935.98","80,985.24","89,083.76","85,034.50",B
CPA,FAR,Liabilities,Hard,"[FAR-35] Compute the adjustment amount if base amount is PHP 1,224,962.00 and rate is 18%.","220,493.16","209,468.50","231,517.82","242,542.48",A
CPA,FAR,Equity,Hard,"[FAR-36] Compute the adjustment amount if base amount is PHP 862,233.00 and rate is 15%.","122,868.20","129,334.95","135,801.70","142,268.45",B
CPA,FAR,Revenue Recognition,Hard,"[FAR-37] Compute the adjustment amount if base amount is PHP 2,331,454.00 and rate is 15%.","384,689.90","332,232.20","349,718.10","367,204.00",C
CPA,FAR,Receivables,Hard,"[FAR-38] Compute the adjustment amount if base amount is PHP 510,571.00 and rate is 18%.","96,497.92","91,902.78","87,307.64","101,093.06",B
CPA,FAR,Inventories,Hard,"[FAR-39] Compute the adjustment amount if base amount is PHP 234,021.00 and rate is 15%.","36,858.31","35,103.15","38,613.47","33,347.99",B
CPA,FAR,Equity,Hard,"[FAR-40] Compute the adjustment amount if base amount is PHP 580,087.00 and rate is 15%.","87,013.05","95,714.35","82,662.40","91,363.70",A
CPA,FAR,Equity,Hard,"[FAR-41] Compute the adjustment amount if base amount is PHP 2,480,685.00 and rate is 15%.","353,497.61","409,313.03","372,102.75","390,707.89",C
CPA,FAR,Inventories,Hard,"[FAR-42] Compute the adjustment amount if base amount is PHP 524,459.00 and rate is 18%.","99,122.75","103,842.88","89,682.49","94,402.62",D
CPA,FAR,Revenue Recognition,Hard,"[FAR-43] Compute the adjustment amount if base amount is PHP 1,614,234.00 and rate is 12%.","213,078.88","193,708.08","203,393.48","184,022.68",B
CPA,FAR,Inventories,Hard,"[FAR-44] Compute the adjustment amount if base amount is PHP 1,340,694.00 and rate is 15%.","221,214.52","201,104.10","211,159.31","191,048.89",B
CPA,FAR,Receivables,Hard,"[FAR-45] Compute the adjustment amount if base amount is PHP 178,177.00 and rate is 18%.","33,675.45","30,468.27","32,071.86","35,279.04",C
CPA,FAR,Revenue Recognition,Hard,"[FAR-46] Compute the adjustment amount if base amount is PHP 524,540.00 and rate is 12%.","66,092.04","69,239.28","62,944.80","59,797.56",C
CPA,FAR,Receivables,Hard,"[FAR-47] Compute the adjustment amount if base amount is PHP 2,473,752.00 and rate is 15%.","389,615.94","371,062.80","352,509.66","408,169.08",B
CPA,FAR,Equity,Hard,"[FAR-48] Compute the adjustment amount if base amount is PHP 1,815,298.00 and rate is 15%.","272,294.70","299,524.18","258,679.96","285,909.44",A
CPA,FAR,Receivables,Hard,"[FAR-49] Compute the adjustment amount if base amount is PHP 1,907,293.00 and rate is 10%.","190,729.30","209,802.24","200,265.77","181,192.83",A
CPA,FAR,Liabilities,Hard,"[FAR-50] Compute the adjustment amount if base amount is PHP 1,614,505.00 and rate is 10%.","177,595.56","153,377.97","169,523.03","161,450.50",D
CPA,FAR,Receivables,Hard,"[FAR-51] Compute the adjustment amount if base amount is PHP 1,334,484.00 and rate is 10%.","126,775.98","133,448.40","140,120.82","146,793.24",B
CPA,FAR,Inventories,Hard,"[FAR-52] Compute the adjustment amount if base amount is PHP 2,393,970.00 and rate is 15%.","377,050.28","395,005.06","341,140.72","359,095.50",D
CPA,FAR,Revenue Recognition,Hard,"[FAR-53] Compute the adjustment amount if base amount is PHP 799,997.00 and rate is 10%.","75,999.71","83,999.69","87,999.68","79,999.70",D
CPA,FAR,Liabilities,Hard,"[FAR-54] Compute the adjustment amount if base amount is PHP 1,387,691.00 and rate is 10%.","138,769.10","131,830.64","152,646.02","145,707.56",A
CPA,FAR,Inventories,Hard,"[FAR-55] Compute the adjustment amount if base amount is PHP 1,731,056.00 and rate is 18%.","327,169.58","311,590.08","296,010.58","342,749.08",B
CPA,FAR,Equity,Hard,"[FAR-56] Compute the adjustment amount if base amount is PHP 645,160.00 and rate is 12%.","85,161.12","81,290.16","73,548.24","77,419.20",D
CPA,FAR,Inventories,Hard,"[FAR-57] Compute the adjustment amount if base amount is PHP 1,189,439.00 and rate is 12%.","135,596.05","149,869.31","157,005.94","142,732.68",D
CPA,FAR,Liabilities,Hard,"[FAR-58] Compute the adjustment amount if base amount is PHP 2,389,747.00 and rate is 18%.","473,169.90","430,154.46","451,662.18","408,646.74",B
CPA,FAR,Equity,Hard,"[FAR-59] Compute the adjustment amount if base amount is PHP 495,167.00 and rate is 12%.","65,362.04","62,391.04","56,449.04","59,420.04",D
CPA,FAR,Revenue Recognition,Hard,"[FAR-60] Compute the adjustment amount if base amount is PHP 1,549,053.00 and rate is 15%.","243,975.85","255,593.75","220,740.05","232,357.95",D
CPA,FAR,Inventories,Hard,"[FAR-61] Compute the adjustment amount if base amount is PHP 2,093,609.00 and rate is 10%.","209,360.90","230,297.00","198,892.85","219,828.95",A
CPA,FAR,Equity,Hard,"[FAR-62] Compute the adjustment amount if base amount is PHP 1,629,660.00 and rate is 12%.","215,115.12","195,559.20","205,337.16","185,781.24",B
CPA,FAR,Liabilities,Hard,"[FAR-63] Compute the adjustment amount if base amount is PHP 1,691,716.00 and rate is 15%.","253,757.40","266,445.27","241,069.53","279,133.14",A
CPA,FAR,Inventories,Hard,"[FAR-64] Compute the adjustment amount if base amount is PHP 1,429,435.00 and rate is 12%.","162,955.59","180,108.81","171,532.20","188,685.42",C
CPA,FAR,Equity,Hard,"[FAR-65] Compute the adjustment amount if base amount is PHP 142,279.00 and rate is 15%.","22,408.94","20,274.76","21,341.85","23,476.03",C
CPA,FAR,Receivables,Hard,"[FAR-66] Compute the adjustment amount if base amount is PHP 473,191.00 and rate is 15%.","74,527.58","78,076.51","70,978.65","67,429.72",C
CPA,FAR,Equity,Hard,"[FAR-67] Compute the adjustment amount if base amount is PHP 196,975.00 and rate is 12%.","24,818.85","23,637.00","26,000.70","22,455.15",B
CPA,FAR,Equity,Hard,"[FAR-68] Compute the adjustment amount if base amount is PHP 1,769,519.00 and rate is 18%.","350,364.76","318,513.42","302,587.75","334,439.09",B
CPA,FAR,Liabilities,Hard,"[FAR-69] Compute the adjustment amount if base amount is PHP 478,767.00 and rate is 12%.","57,452.04","60,324.64","63,197.24","54,579.44",A
CPA,FAR,Equity,Hard,"[FAR-70] Compute the adjustment amount if base amount is PHP 1,421,994.00 and rate is 10%.","135,089.43","156,419.34","142,199.40","149,309.37",C
CPA,FAR,Receivables,Medium,"[FAR-71] Compute the adjustment amount if base amount is PHP 1,358,543.00 and rate is 15%.","193,592.38","203,781.45","224,159.59","213,970.52",B
CPA,FAR,Liabilities,Medium,"[FAR-72] Compute the adjustment amount if base amount is PHP 159,631.00 and rate is 18%.","30,170.26","28,733.58","31,606.94","27,296.90",B
CPA,FAR,Inventories,Medium,"[FAR-73] Compute the adjustment amount if base amount is PHP 2,285,059.00 and rate is 10%.","239,931.20","228,505.90","251,356.50","217,080.60",B
CPA,FAR,Revenue Recognition,Medium,"[FAR-74] Compute the adjustment amount if base amount is PHP 807,605.00 and rate is 10%.","76,722.47","88,836.56","84,798.53","80,760.50",D
CPA,FAR,Inventories,Medium,"[FAR-75] Compute the adjustment amount if base amount is PHP 1,663,489.00 and rate is 15%.","274,475.69","249,523.35","237,047.18","261,999.52",B
CPA,FAR,Receivables,Medium,"[FAR-76] Compute the adjustment amount if base amount is PHP 650,682.00 and rate is 10%.","68,321.61","61,814.79","65,068.20","71,575.02",C
CPA,FAR,Equity,Medium,"[FAR-77] Compute the adjustment amount if base amount is PHP 1,718,862.00 and rate is 15%.","270,720.77","257,829.30","283,612.24","244,937.83",B
CPA,FAR,Liabilities,Medium,"[FAR-78] Compute the adjustment amount if base amount is PHP 1,578,775.00 and rate is 18%.","298,388.48","312,597.46","269,970.52","284,179.50",D
CPA,FAR,Equity,Medium,"[FAR-79] Compute the adjustment amount if base amount is PHP 1,624,401.00 and rate is 18%.","307,011.79","321,631.40","292,392.18","277,772.57",C
CPA,FAR,Receivables,Medium,"[FAR-80] Compute the adjustment amount if base amount is PHP 488,540.00 and rate is 18%.","92,334.06","87,937.20","96,730.92","83,540.34",B
CPA,FAR,Liabilities,Medium,"[FAR-81] Compute the adjustment amount if base amount is PHP 826,075.00 and rate is 15%.","123,911.25","136,302.37","130,106.81","117,715.69",A
CPA,FAR,Inventories,Medium,"[FAR-82] Compute the adjustment amount if base amount is PHP 1,810,595.00 and rate is 15%.","258,009.79","271,589.25","298,748.17","285,168.71",B
CPA,FAR,Liabilities,Medium,"[FAR-83] Compute the adjustment amount if base amount is PHP 1,581,910.00 and rate is 15%.","249,150.83","225,422.17","237,286.50","261,015.16",C
CPA,FAR,Liabilities,Medium,"[FAR-84] Compute the adjustment amount if base amount is PHP 1,972,505.00 and rate is 12%.","260,370.66","236,700.60","248,535.63","224,865.57",B
CPA,FAR,Liabilities,Medium,"[FAR-85] Compute the adjustment amount if base amount is PHP 1,462,322.00 and rate is 15%.","241,283.14","230,315.72","219,348.30","208,380.88",C
CPA,FAR,Inventories,Medium,"[FAR-86] Compute the adjustment amount if base amount is PHP 1,102,695.00 and rate is 15%.","181,944.67","157,134.04","173,674.46","165,404.25",D
CPA,FAR,Liabilities,Medium,"[FAR-87] Compute the adjustment amount if base amount is PHP 2,041,259.00 and rate is 18%.","404,169.28","385,797.95","349,055.29","367,426.62",D
CPA,FAR,Revenue Recognition,Medium,"[FAR-88] Compute the adjustment amount if base amount is PHP 1,838,239.00 and rate is 15%.","289,522.64","275,735.85","261,949.06","303,309.43",B
CPA,FAR,Receivables,Medium,"[FAR-89] Compute the adjustment amount if base amount is PHP 1,900,215.00 and rate is 15%.","270,780.64","313,535.47","299,283.86","285,032.25",D
CPA,FAR,Equity,Medium,"[FAR-90] Compute the adjustment amount if base amount is PHP 164,104.00 and rate is 15%.","27,077.16","25,846.38","24,615.60","23,384.82",C
CPA,FAR,Liabilities,Easy,"[FAR-91] Compute the adjustment amount if base amount is PHP 1,859,052.00 and rate is 18%.","351,360.83","368,092.30","334,629.36","317,897.89",C
CPA,FAR,Receivables,Easy,"[FAR-92] Compute the adjustment amount if base amount is PHP 1,042,206.00 and rate is 10%.","109,431.63","114,642.66","104,220.60","99,009.57",C
CPA,FAR,Equity,Easy,"[FAR-93] Compute the adjustment amount if base amount is PHP 2,037,369.00 and rate is 15%.","320,885.62","336,165.89","305,605.35","290,325.08",C
CPA,FAR,Revenue Recognition,Easy,"[FAR-94] Compute the adjustment amount if base amount is PHP 2,380,567.00 and rate is 10%.","226,153.86","238,056.70","261,862.38","249,959.54",B
CPA,FAR,Equity,Easy,"[FAR-95] Compute the adjustment amount if base amount is PHP 2,063,908.00 and rate is 12%.","247,668.96","272,435.86","235,285.51","260,052.41",A
CPA,FAR,Equity,Easy,"[FAR-96] Compute the adjustment amount if base amount is PHP 473,505.00 and rate is 18%.","93,754.00","80,969.35","85,230.90","89,492.45",C
CPA,FAR,Revenue Recognition,Easy,"[FAR-97] Compute the adjustment amount if base amount is PHP 1,256,130.00 and rate is 18%.","248,713.74","226,103.40","214,798.23","237,408.57",B
CPA,FAR,Receivables,Easy,"[FAR-98] Compute the adjustment amount if base amount is PHP 2,094,551.00 and rate is 15%.","314,182.65","345,600.91","329,891.78","298,473.52",A
CPA,FAR,Receivables,Easy,"[FAR-99] Compute the adjustment amount if base amount is PHP 1,191,013.00 and rate is 18%.","235,820.58","225,101.46","214,382.34","203,663.22",C
CPA,FAR,Liabilities,Easy,"[FAR-100] Compute the adjustment amount if base amount is PHP 678,825.00 and rate is 10%.","67,882.50","74,670.74","71,276.62","64,488.38",A
CPA,AFAR,Business Combination,Hard,"[AFAR-1] USD 124,193 recorded at PHP 55.47/USD then settled at PHP 55.52/USD. Compute FX gain (loss).","6,520.13","6,830.61","6,209.65","5,899.17",C
CPA,AFAR,Partnership,Hard,"[AFAR-2] USD 235,408 recorded at PHP 57.45/USD then settled at PHP 58.35/USD. Compute FX gain (loss).","222,460.56","211,867.20","201,273.84","233,053.92",B
CPA,AFAR,Business Combination,Hard,"[AFAR-3] USD 287,195 recorded at PHP 57.90/USD then settled at PHP 58.28/USD. Compute FX gain (loss).","109,134.10","114,590.81","120,047.52","103,677.39",A
CPA,AFAR,Consolidation,Hard,"[AFAR-4] USD 208,785 recorded at PHP 54.72/USD then settled at PHP 56.68/USD. Compute FX gain (loss).","409,218.60","429,679.53","450,140.46","388,757.67",A
CPA,AFAR,Foreign Currency,Hard,"[AFAR-5] USD 75,765 recorded at PHP 57.70/USD then settled at PHP 59.62/USD. Compute FX gain (loss).","152,742.24","138,195.36","145,468.80","160,015.68",C
CPA,AFAR,Consolidation,Hard,"[AFAR-6] USD 244,913 recorded at PHP 56.03/USD then settled at PHP 56.14/USD. Compute FX gain (loss).","26,940.43","28,287.45","29,634.47","25,593.41",A
CPA,AFAR,Partnership,Hard,"[AFAR-7] USD 91,675 recorded at PHP 56.24/USD then settled at PHP 57.60/USD. Compute FX gain (loss).","124,678.00","130,911.90","137,145.80","118,444.10",A
CPA,AFAR,Consolidation,Hard,"[AFAR-8] USD 299,289 recorded at PHP 56.46/USD then settled at PHP 56.62/USD. Compute FX gain (loss).","52,674.86","47,886.24","45,491.93","50,280.55",B
CPA,AFAR,Foreign Currency,Hard,"[AFAR-9] USD 88,816 recorded at PHP 57.19/USD then settled at PHP 58.39/USD. Compute FX gain (loss).","117,237.12","101,250.24","111,908.16","106,579.20",D
CPA,AFAR,Partnership,Hard,"[AFAR-10] USD 113,840 recorded at PHP 54.56/USD then settled at PHP 56.41/USD. Compute FX gain (loss).","200,073.80","210,604.00","231,664.40","221,134.20",B
CPA,AFAR,Consolidation,Hard,"[AFAR-11] USD 117,817 recorded at PHP 56.77/USD then settled at PHP 57.78/USD. Compute FX gain (loss).","118,995.17","124,944.93","113,045.41","130,894.69",A
CPA,AFAR,Foreign Currency,Hard,"[AFAR-12] USD 35,209 recorded at PHP 55.20/USD then settled at PHP 55.26/USD. Compute FX gain (loss).","2,112.54","2,218.17","2,006.91","2,323.80",A
CPA,AFAR,Foreign Currency,Hard,"[AFAR-13] USD 101,274 recorded at PHP 57.60/USD then settled at PHP 56.18/USD. Compute FX gain (loss).","-136,618.63","-150,999.53","-143,809.08","-129,428.18",C
CPA,AFAR,Partnership,Hard,"[AFAR-14] USD 69,627 recorded at PHP 55.41/USD then settled at PHP 56.79/USD. Compute FX gain (loss).","100,889.52","105,693.78","96,085.26","91,281.00",C
CPA,AFAR,Business Combination,Hard,"[AFAR-15] USD 283,854 recorded at PHP 54.77/USD then settled at PHP 56.04/USD. Compute FX gain (loss).","378,519.31","342,469.85","360,494.58","396,544.04",C
CPA,AFAR,Consolidation,Hard,"[AFAR-16] USD 146,416 recorded at PHP 54.90/USD then settled at PHP 56.77/USD. Compute FX gain (loss).","301,177.72","287,487.82","273,797.92","260,108.02",C
CPA,AFAR,Consolidation,Hard,"[AFAR-17] USD 241,866 recorded at PHP 55.84/USD then settled at PHP 55.29/USD. Compute FX gain (loss).","-133,026.30","-126,374.99","-119,723.68","-139,677.61",A
CPA,AFAR,Consolidation,Hard,"[AFAR-18] USD 272,605 recorded at PHP 54.37/USD then settled at PHP 55.96/USD. Compute FX gain (loss).","411,769.85","455,114.05","476,786.15","433,441.95",D
CPA,AFAR,Business Combination,Hard,"[AFAR-19] USD 102,872 recorded at PHP 54.46/USD then settled at PHP 53.27/USD. Compute FX gain (loss).","-128,538.56","-122,417.68","-110,175.92","-116,296.80",B
CPA,AFAR,Partnership,Hard,"[AFAR-20] USD 95,959 recorded at PHP 56.59/USD then settled at PHP 58.24/USD. Compute FX gain (loss).","158,332.35","166,248.97","174,165.59","150,415.73",A
CPA,AFAR,Partnership,Hard,"[AFAR-21] USD 228,824 recorded at PHP 54.04/USD then settled at PHP 54.12/USD. Compute FX gain (loss).","20,136.52","18,305.92","19,221.22","17,390.62",B
CPA,AFAR,Partnership,Hard,"[AFAR-22] USD 76,341 recorded at PHP 57.17/USD then settled at PHP 57.41/USD. Compute FX gain (loss).","17,405.75","18,321.84","19,237.93","20,154.02",B
CPA,AFAR,Foreign Currency,Hard,"[AFAR-23] USD 191,049 recorded at PHP 57.02/USD then settled at PHP 58.89/USD. Compute FX gain (loss).","357,261.63","339,398.55","375,124.71","392,987.79",A
CPA,AFAR,Partnership,Hard,"[AFAR-24] USD 295,459 recorded at PHP 57.28/USD then settled at PHP 59.07/USD. Compute FX gain (loss).","555,315.19","581,758.77","528,871.61","502,428.03",C
CPA,AFAR,Foreign Currency,Hard,"[AFAR-25] USD 41,953 recorded at PHP 54.28/USD then settled at PHP 55.97/USD. Compute FX gain (loss).","70,900.57","74,445.60","67,355.54","77,990.63",A
CPA,AFAR,Partnership,Hard,"[AFAR-26] USD 270,940 recorded at PHP 56.16/USD then settled at PHP 54.77/USD. Compute FX gain (loss).","-338,945.94","-395,436.93","-376,606.60","-357,776.27",C
CPA,AFAR,Partnership,Hard,"[AFAR-27] USD 225,435 recorded at PHP 54.37/USD then settled at PHP 54.51/USD. Compute FX gain (loss).","33,138.95","29,982.85","34,717.00","31,560.90",D
CPA,AFAR,Partnership,Hard,"[AFAR-28] USD 293,056 recorded at PHP 54.48/USD then settled at PHP 56.34/USD. Compute FX gain (loss).","545,084.16","517,829.95","599,592.58","572,338.37",A
CPA,AFAR,Consolidation,Hard,"[AFAR-29] USD 146,881 recorded at PHP 55.29/USD then settled at PHP 56.88/USD. Compute FX gain (loss).","221,863.75","245,217.83","233,540.79","256,894.87",C
CPA,AFAR,Consolidation,Hard,"[AFAR-30] USD 239,607 recorded at PHP 54.17/USD then settled at PHP 53.17/USD. Compute FX gain (loss).","-227,626.65","-251,587.35","-239,607.00","-215,646.30",C
CPA,AFAR,Foreign Currency,Hard,"[AFAR-31] USD 269,724 recorded at PHP 56.36/USD then settled at PHP 56.29/USD. Compute FX gain (loss).","-19,824.71","-17,936.65","-18,880.68","-16,992.62",C
CPA,AFAR,Partnership,Hard,"[AFAR-32] USD 37,847 recorded at PHP 56.12/USD then settled at PHP 57.26/USD. Compute FX gain (loss).","43,145.58","47,460.14","40,988.30","45,302.86",A
CPA,AFAR,Foreign Currency,Hard,"[AFAR-33] USD 160,146 recorded at PHP 57.07/USD then settled at PHP 58.52/USD. Compute FX gain (loss).","243,822.29","232,211.70","255,432.88","220,601.11",B
CPA,AFAR,Consolidation,Hard,"[AFAR-34] USD 298,069 recorded at PHP 54.49/USD then settled at PHP 53.96/USD. Compute FX gain (loss).","-150,077.74","-142,178.91","-165,875.40","-157,976.57",D
CPA,AFAR,Foreign Currency,Hard,"[AFAR-35] USD 259,750 recorded at PHP 55.62/USD then settled at PHP 54.06/USD. Compute FX gain (loss).","-425,470.50","-405,210.00","-384,949.50","-364,689.00",B
CPA,AFAR,Consolidation,Hard,"[AFAR-36] USD 148,091 recorded at PHP 54.79/USD then settled at PHP 53.84/USD. Compute FX gain (loss).","-126,617.81","-140,686.45","-133,652.13","-147,720.77",B
CPA,AFAR,Consolidation,Hard,"[AFAR-37] USD 153,876 recorded at PHP 54.67/USD then settled at PHP 56.32/USD. Compute FX gain (loss).","241,200.63","279,284.94","266,590.17","253,895.40",D
CPA,AFAR,Business Combination,Hard,"[AFAR-38] USD 206,472 recorded at PHP 57.84/USD then settled at PHP 59.76/USD. Compute FX gain (loss).","376,604.93","416,247.55","436,068.86","396,426.24",D
CPA,AFAR,Foreign Currency,Hard,"[AFAR-39] USD 44,649 recorded at PHP 55.17/USD then settled at PHP 53.84/USD. Compute FX gain (loss).","-56,414.01","-53,444.85","-59,383.17","-62,352.33",C
CPA,AFAR,Partnership,Hard,"[AFAR-40] USD 170,418 recorded at PHP 56.47/USD then settled at PHP 54.64/USD. Compute FX gain (loss).","-296,271.69","-280,678.44","-327,458.19","-311,864.94",D
CPA,AFAR,Foreign Currency,Hard,"[AFAR-41] USD 290,896 recorded at PHP 56.33/USD then settled at PHP 55.28/USD. Compute FX gain (loss).","-274,896.72","-290,168.76","-305,440.80","-320,712.84",C
CPA,AFAR,Business Combination,Hard,"[AFAR-42] USD 263,281 recorded at PHP 54.35/USD then settled at PHP 52.48/USD. Compute FX gain (loss).","-467,718.70","-492,335.47","-516,952.24","-443,101.93",B
CPA,AFAR,Consolidation,Hard,"[AFAR-43] USD 251,280 recorded at PHP 56.70/USD then settled at PHP 55.41/USD. Compute FX gain (loss).","-291,736.08","-324,151.20","-340,358.76","-307,943.64",B
CPA,AFAR,Consolidation,Hard,"[AFAR-44] USD 284,685 recorded at PHP 57.03/USD then settled at PHP 56.63/USD. Compute FX gain (loss).","-108,180.30","-119,567.70","-113,874.00","-102,486.60",C
CPA,AFAR,Consolidation,Hard,"[AFAR-45] USD 200,528 recorded at PHP 54.30/USD then settled at PHP 55.31/USD. Compute FX gain (loss).","212,659.94","202,533.28","192,406.62","222,786.60",B
CPA,AFAR,Consolidation,Hard,"[AFAR-46] USD 189,027 recorded at PHP 54.70/USD then settled at PHP 54.90/USD. Compute FX gain (loss).","35,915.13","41,585.94","39,695.67","37,805.40",D
CPA,AFAR,Partnership,Hard,"[AFAR-47] USD 281,105 recorded at PHP 56.52/USD then settled at PHP 57.20/USD. Compute FX gain (loss).","200,708.97","210,266.54","191,151.40","181,593.83",C
CPA,AFAR,Consolidation,Hard,"[AFAR-48] USD 152,272 recorded at PHP 54.95/USD then settled at PHP 54.46/USD. Compute FX gain (loss).","-70,882.62","-74,613.28","-67,151.96","-78,343.94",B
CPA,AFAR,Foreign Currency,Hard,"[AFAR-49] USD 180,891 recorded at PHP 56.99/USD then settled at PHP 55.03/USD. Compute FX gain (loss).","-336,819.04","-354,546.36","-319,091.72","-372,273.68",B
CPA,AFAR,Business Combination,Hard,"[AFAR-50] USD 260,220 recorded at PHP 56.36/USD then settled at PHP 55.33/USD. Compute FX gain (loss).","-268,026.60","-241,223.94","-281,427.93","-254,625.27",A
