exam_type,subject,topic,difficulty,question,a,b,c,d,answer
CPA,AFAR,Foreign Operations,Medium,Which rate is used to translate assets and liabilities under current rate method?,Closing rate,Historical rate,Average rate,Spot rate at transaction date,A
CPA,AFAR,Segment Reporting,Easy,IFRS 8 requires disclosure of segment information based on?,Management approach,Legal entity approach,Tax authority approach,Only geographical approach,A
CPA,Auditing,Audit Planning,Hard,Overall materiality is set at PHP 1200000 and performance materiality at 75 percent. Performance materiality is?,900000,800000,750000,1000000,A
CPA,Auditing,Sampling,Hard,Population 50000 items tolerable misstatement 250000 expected misstatement 50000. If sample result exceeds tolerable misstatement the auditor should?,Expand testing or require adjustment,Automatically issue adverse opinion,Ignore if management disagrees,Reduce sample size,A
CPA,Auditing,Risk Assessment,Hard,Detection risk is inversely related to?,Substantive testing extent,Audit evidence reliability,Control risk documentation,Management representation letter date,A
CPA,Auditing,Internal Control,Hard,If control risk is assessed high the auditor generally?,Increases substantive procedures,Eliminates substantive procedures,Relies only on inquiry,Issues disclaimer automatically,A
CPA,Auditing,Audit Evidence,Hard,Most reliable audit evidence is usually obtained from?,Independent external sources,Client oral explanations,Internal memos unsigned,Analytical procedures only,A
CPA,Auditing,Audit Opinion,Hard,A qualified opinion is appropriate when?,Misstatement is material but not pervasive,Misstatement is pervasive,No audit evidence and pervasive,No misstatement found,A
CPA,Auditing,Subsequent Events,Hard,Events providing evidence of conditions existing at balance sheet date require?,Adjustment,Disclosure only,No action,Automatic restatement of prior years,A
CPA,Auditing,Going Concern,Hard,If substantial doubt exists and disclosures are adequate the auditor typically issues?,Unmodified opinion with emphasis of matter,Adverse opinion,Disclaimer only,Qualified opinion always,A
CPA,Auditing,Engagement Risk,Medium,Engagement letter primarily documents?,Terms and scope of audit,Client tax position only,Trial balance totals,Management bonus plans,A
CPA,Auditing,Ethics,Easy,Fundamental ethical principle requiring freedom from bias is?,Objectivity,Confidentiality,Professional behavior,Competence,A
CPA,MAS,Cost Volume Profit,Hard,Selling price 450 variable cost 270 fixed cost 540000 target profit 180000 required units are?,6000,5000,7000,8000,A
CPA,MAS,Cost Volume Profit,Hard,Contribution margin ratio is 35 percent and fixed cost 420000. Break even sales is?,1200000,1400000,1000000,1600000,A
CPA,MAS,Budgeting,Hard,Budgeted production equals?,Sales plus ending FG minus beginning FG,Sales minus ending FG plus beginning FG,Sales plus beginning FG minus ending FG,Sales plus ending RM minus beginning RM,A
CPA,MAS,Standard Costing,Hard,Standard quantity 4 kg at 120 per kg. Actual quantity 4.5 kg for one unit. Quantity variance is?,600 unfavorable,540 unfavorable,500 unfavorable,480 unfavorable,A
CPA,MAS,Variance Analysis,Hard,Standard labor 3 hours at 200 per hour. Actual labor 2.7 hours at 230 per hour. Labor rate variance is?,81 unfavorable,90 unfavorable,70 unfavorable,60 unfavorable,A
CPA,MAS,Relevant Costing,Hard,In a special order decision which cost is usually relevant?,Incremental variable and avoidable fixed costs,Sunk costs,Allocated common fixed costs,Historical book values only,A
CPA,MAS,Transfer Pricing,Hard,Goal congruent transfer price range is between?,Seller variable cost and external market price,Zero and full cost only,Historical cost and replacement cost,Tax rate and inflation rate,A
CPA,MAS,Capital Budgeting,Hard,Project costs 1000000 and yields annual net cash inflow 280000 for 5 years no salvage. Approximate payback is?,3.57 years,4.20 years,2.80 years,5.00 years,A
CPA,MAS,Performance Measurement,Medium,Residual income equals?,Operating income minus required return on investment,Operating income divided by investment,Sales minus variable cost,Net income plus depreciation,A
CPA,MAS,Responsibility Accounting,Easy,A cost center manager is primarily responsible for?,Controlling costs,Generating revenue only,Approving dividends,Setting corporate tax policy,A
CPA,RFBT,Obligations and Contracts,Hard,Essential requisites of a valid contract include consent object and?,Cause,Title,Form only,Witnesses,A
CPA,RFBT,Sales and Agency,Hard,In agency the agent binds the principal when acting?,Within authority,Without authority always,Only with written notarization,Only in emergencies,A
CPA,RFBT,Negotiable Instruments,Hard,To be negotiable an instrument must contain?,Unconditional promise or order to pay,Statement of purpose,Collateral description only,Management certification,A
CPA,RFBT,Negotiable Instruments,Hard,A holder in due course takes the instrument?,For value in good faith without notice of defect,Only after maturity,Without endorsement,Only from maker,A
CPA,RFBT,Corporation Law,Hard,Board action generally requires?,Majority of quorum at meeting duly called,Unanimous stockholder vote,Approval of corporate secretary only,Majority of all outstanding shares always,A
CPA,RFBT,Partnership Law,Hard,In a general partnership partners are generally?,Unlimitedly liable jointly and subsidiarily,Liable only up to contribution,Never liable for torts,Liable only after dissolution,A
CPA,RFBT,Secured Transactions,Hard,A pledge requires delivery of?,Movable property to creditor or third person,Land title to assessor only,Corporate books to SEC,Tax declaration to BIR,A
CPA,RFBT,Insurance Law,Hard,Insurable interest in life insurance generally must exist?,At inception of policy,At time of loss only,At claim filing only,At policy maturity only,A
CPA,RFBT,Commercial Law,Medium,A warehouse receipt is primarily a document of?,Title to goods,Partnership authority,Corporate franchise,Tax exemption,A
CPA,RFBT,Legal Ethics,Easy,A CPA acting as legal consultant should primarily uphold?,Law and ethical standards,Client interest regardless of law,Only firm profitability,Only verbal agreements,A
CPA,Taxation,Income Taxation,Hard,Taxable income is PHP 1800000 and tax rate for this item is 30 percent. Tax due is?,540000,500000,560000,520000,A
CPA,Taxation,Income Taxation,Hard,If tax payable before credits is 260000 and creditable withholding tax is 90000 net tax payable is?,170000,150000,180000,190000,A
CPA,Taxation,VAT,Hard,VAT exclusive sales are PHP 1250000 and output VAT rate is 12 percent. Output VAT is?,150000,120000,135000,160000,A
CPA,Taxation,VAT,Hard,Output VAT is 240000 and input VAT is 165000. VAT payable is?,75000,85000,65000,90000,A
CPA,Taxation,Percentage Tax,Hard,Gross quarterly sales are PHP 840000 under a 3 percent percentage tax regime. Tax due is?,25200,24000,26000,21000,A
CPA,Taxation,Withholding Tax,Hard,Compensation withholding for period is 98000 while remittance made is 75000. Balance payable is?,23000,20000,25000,18000,A
CPA,Taxation,Documentary Stamp Tax,Hard,Loan agreement subject to DST of PHP 1.50 per PHP 200 on PHP 4000000. DST due is?,30000,28000,32000,25000,A
CPA,Taxation,Donor Tax,Hard,Net gift is PHP 600000 and donor tax rate applied for this item is 6 percent. Donor tax is?,36000,30000,42000,40000,A
CPA,Taxation,Tax Administration,Medium,A compromise settlement in tax administration generally requires?,Approval under legal grounds and authority,Only taxpayer request,Only accountant certification,Automatic approval after 30 days,A
CPA,Taxation,Basic Concepts,Easy,The Philippine tax system is mainly based on which legislative authority?,Power of taxation of the state,Only local ordinances,Private contracts,Accounting standards board,A
